Trade number,Instrument,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Profit
1,MNQH6,Long,1,25718.25,25677.99,1/2/2026 4:09,1/2/2026 9:39,80.52
2,MNQH6,Long,1,25744,25638,1/2/2026 10:12,1/2/2026 10:45,212.00
3,MNQH6,Short,1,25426.5,25457.01,1/2/2026 11:18,1/4/2026 18:54,61.02
4,MNQH6,Long,1,25586.76,25617,1/5/2026 9:12,1/5/2026 12:30,60.48
5,MNQH6,Long,1,25674.5,25807.74,1/6/2026 9:51,1/6/2026 21:57,266.48
6,MNQH6,Long,1,25844.75,25814.24,1/7/2026 10:03,1/7/2026 19:51,61.02
7,MNQH6,Short,1,25727,25748.92,1/8/2026 1:21,1/8/2026 2:27,43.84
8,MNQH6,Short,1,25671,25691.33,1/8/2026 10:09,1/8/2026 15:39,40.66
9,MNQH6,Long,1,25741.76,25740.75,1/9/2026 6:57,1/9/2026 9:42,2.02
10,MNQH6,Long,1,25824.75,25874.25,1/9/2026 10:48,1/11/2026 18:24,99.00
11,MNQH6,Long,1,25969.5,25920.74,1/12/2026 12:33,1/12/2026 18:30,97.52
12,MNQH6,Long,1,26020.5,25867.24,1/13/2026 8:48,1/13/2026 10:27,306.52
13,MNQH6,Short,1,25806,25915.51,1/13/2026 15:57,1/13/2026 22:27,219.02
14,MNQH6,Short,1,25803.25,25657.01,1/14/2026 5:36,1/14/2026 16:36,292.48
15,MNQH6,Long,1,25878.75,25844.5,1/15/2026 9:00,1/15/2026 14:30,68.50
16,MNQH6,Short,1,25680.75,25348.76,1/16/2026 10:45,1/19/2026 11:24,663.98
17,MNQH6,Short,1,25236.25,25283.76,1/20/2026 3:24,1/20/2026 10:00,95.02
18,MNQH6,Short,1,25099,25211.5,1/21/2026 7:21,1/21/2026 9:33,225.00
19,MNQH6,Long,1,25281.26,25343.82,1/21/2026 10:06,1/21/2026 11:45,125.12
20,MNQH6,Long,1,25496.5,25541.25,1/21/2026 15:03,1/22/2026 0:51,89.50
21,MNQH6,Long,1,25653.25,25648.99,1/22/2026 3:36,1/22/2026 9:39,8.52
22,MNQH6,Long,1,25731.75,25692.99,1/23/2026 10:51,1/23/2026 13:03,77.52
23,MNQH6,Short,1,25540,25669.26,1/25/2026 18:27,1/26/2026 1:03,258.52
24,MNQH6,Long,1,25775.01,25966.99,1/26/2026 9:51,1/27/2026 10:03,383.96
25,MNQH6,Long,1,26066,26251.99,1/27/2026 10:36,1/28/2026 9:36,371.98
26,MNQH6,Short,1,26036.75,26212,1/28/2026 16:12,1/28/2026 16:45,350.50
27,MNQH6,Short,1,25996.25,25927.01,1/29/2026 10:15,1/29/2026 16:18,138.48
28,MNQH6,Short,1,25568.75,25391.51,2/1/2026 18:30,2/2/2026 3:18,354.48
29,MNQH6,Long,1,25939.25,25951.74,2/2/2026 13:12,2/3/2026 6:09,24.98
30,MNQH6,Short,1,25456.25,25473.51,2/3/2026 12:45,2/4/2026 1:51,34.52
31,MNQH6,Short,1,25218,25094.76,2/4/2026 10:06,2/5/2026 3:36,246.48
32,MNQH6,Short,1,24784,24578.26,2/5/2026 8:00,2/6/2026 0:57,411.48
33,MNQH6,Long,1,25051.75,25179.99,2/6/2026 12:30,2/9/2026 0:30,256.48
34,MNQH6,Long,1,25347,25313.24,2/9/2026 11:30,2/9/2026 20:18,67.52
35,MNQH6,Short,1,25278.49,25421.75,2/10/2026 10:03,2/10/2026 10:36,286.52
36,MNQH6,Long,1,25429,25309,2/10/2026 10:36,2/10/2026 13:21,240.00
37,MNQH6,Short,1,25251.25,25323.01,2/10/2026 15:33,2/10/2026 20:57,143.52
38,MNQH6,Short,1,25197.5,25279.51,2/11/2026 5:12,2/11/2026 9:03,164.02
39,MNQH6,Long,1,25397.76,25258,2/11/2026 9:03,2/11/2026 10:09,279.52
40,MNQH6,Short,1,25147,25320.01,2/11/2026 10:42,2/11/2026 23:15,346.02
41,MNQH6,Long,1,25374.01,25324.5,2/12/2026 8:03,2/12/2026 8:36,99.02
42,MNQH6,Long,1,25384,25320,2/12/2026 9:09,2/12/2026 9:42,128.00
43,MNQH6,Short,1,25205.49,24803.26,2/12/2026 10:15,2/13/2026 4:51,804.46
44,MNQH6,Short,1,24642.75,24808.76,2/13/2026 7:03,2/13/2026 8:42,332.02
45,MNQH6,Short,1,24620,24824.5,2/13/2026 9:48,2/13/2026 10:21,409.00
