symbol_norm,side,nt_trade_id,mt5_trade_id,nt_entry_time_utc,mt5_entry_time_utc,nt_exit_time_utc,mt5_exit_time_utc,nt_entry_price,mt5_entry_price,nt_exit_price,mt5_exit_price,nt_qty,mt5_qty,model_to_live_entry_difference_pts,model_to_live_exit_difference_pts,nt_points,mt5_points,points_delta,qty_delta,net_profit_delta,match_type,notes
XAUUSD,BUY,123329076,51193577,2026-02-17 01:17:01,2026-02-17 01:17:01,2026-02-17 02:09:23,2026-02-17 02:25:08,4989.72,4989.75,4978.3,4972.63,0.03,0.04,0.02999999999974534,-5.670000000000073,-11.420000000000073,-17.11999999999989,-5.699999999999818,,-17.13000000000001,sequential,
XAUUSD,BUY,123346264,51194386,2026-02-17 02:10:00,2026-02-17 02:10:00,2026-02-17 02:25:08,2026-02-17 02:52:15,4978.43,4979.08,4972.58,4957.78,0.06,0.04,0.6499999999996362,-14.800000000000182,-5.850000000000364,-21.300000000000182,-15.449999999999818,,17.599999999999994,sequential,
XAUUSD,BUY,123351540,51194862,2026-02-17 02:27:00,2026-02-17 02:27:00,2026-02-17 02:52:16,2026-02-17 02:52:16,4973.46,4973.46,4957.88,4956.16,0.06,0.04,0.0,-1.7200000000002547,-15.579999999999927,-17.300000000000182,-1.7200000000002547,,54.05999999999999,sequential,
XAUUSD,SELL,123474692,51211445,2026-02-17 10:15:00,2026-02-17 10:15:00,2026-02-17 10:22:00,2026-02-17 10:22:00,4927.65,4927.66,4924.2,4924.2,0.03,0.02,-0.010000000000218279,-0.0,3.449999999999818,3.4600000000000364,0.010000000000218279,,-3.4499999999999993,sequential,
XAUUSD,SELL,123477102,51211774,2026-02-17 10:23:00,2026-02-17 10:23:00,2026-02-17 10:28:00,2026-02-17 10:28:00,4926.43,4926.43,4920.81,4920.81,0.03,0.02,-0.0,-0.0,5.619999999999891,5.619999999999891,0.0,,-5.639999999999999,sequential,
XAUUSD,SELL,123571075,51223489,2026-02-17 14:30:00,2026-02-17 14:30:00,2026-02-17 14:35:00,2026-02-17 14:35:00,4942.89,4942.86,4939.98,4939.98,0.03,0.02,0.030000000000654836,-0.0,2.910000000000764,2.880000000000109,-0.030000000000654836,,-2.99,sequential,
XAUUSD,SELL,123572978,51223789,2026-02-17 14:36:00,2026-02-17 14:36:01,2026-02-17 14:42:00,2026-02-17 14:42:00,4942.38,4942.38,4935.94,4935.94,0.03,0.02,-0.0,-0.0,6.440000000000509,6.440000000000509,0.0,,-6.459999999999999,sequential,
XAUUSD,BUY,123705658,51233031,2026-02-17 18:00:00,2026-02-17 18:00:00,2026-02-17 18:03:00,2026-02-17 18:03:00,4878.56,4878.55,4886.36,4886.41,0.03,0.02,-0.010000000000218279,0.0500000000001819,7.799999999999272,7.859999999999673,0.06000000000040018,,-7.6999999999999975,sequential,
XAUUSD,BUY,123708647,51233160,2026-02-17 18:04:00,2026-02-17 18:04:00,2026-02-17 18:07:00,2026-02-17 18:07:00,4880.96,4880.97,4889.9,4889.86,0.03,0.02,0.010000000000218279,-0.03999999999996362,8.9399999999996,8.889999999999418,-0.0500000000001819,,-9.059999999999999,sequential,
XAUUSD,BUY,123711550,51233270,2026-02-17 18:08:00,2026-02-17 18:08:00,2026-02-17 18:57:23,2026-02-17 18:57:23,4891.74,4891.74,4872.15,4872.2,0.03,0.02,0.0,0.0500000000001819,-19.590000000000146,-19.539999999999964,0.0500000000001819,,19.67,sequential,
XAUUSD,BUY,123713836,51233372,2026-02-17 18:13:00,2026-02-17 18:13:00,2026-02-17 19:00:06,2026-02-17 19:00:06,4884.18,4884.16,4865.59,4865.75,0.06,0.04,-0.020000000000436557,0.15999999999985448,-18.590000000000146,-18.409999999999854,0.18000000000029104,,37.86,sequential,
XAUUSD,BUY,123734441,51234399,2026-02-17 18:58:00,2026-02-17 18:58:00,2026-02-17 19:11:01,2026-02-17 19:11:00,4869.79,4869.79,4851.1,4851.51,0.06,0.04,0.0,0.4099999999998545,-18.6899999999996,-18.279999999999745,0.4099999999998545,,38.97999999999999,sequential,
XAUUSD,BUY,123736293,51234501,2026-02-17 19:01:00,2026-02-17 19:01:00,2026-02-17 19:11:02,2026-02-17 19:11:02,4864.58,4864.96,4850.54,4850.26,0.06,0.04,0.38000000000010914,-0.27999999999974534,-14.039999999999964,-14.699999999999818,-0.6599999999998545,,25.4,sequential,
XAUUSD,SELL,123881488,51243484,2026-02-18 04:45:00,2026-02-18 04:45:00,2026-02-18 05:29:33,2026-02-18 05:29:33,4905.07,4905.06,4920.1,4920.1,0.03,0.02,0.009999999999308784,-0.0,-15.030000000000655,-15.039999999999964,-0.009999999999308784,,14.990000000000006,sequential,
XAUUSD,SELL,123887015,51243970,2026-02-18 05:30:00,2026-02-18 05:30:00,2026-02-18 06:31:27,2026-02-18 06:31:27,4919.38,4919.38,4934.95,4934.95,0.03,0.02,-0.0,-0.0,-15.569999999999709,-15.569999999999709,0.0,,15.55,sequential,
XAUUSD,BUY,124026793,51251853,2026-02-18 15:00:00,2026-02-18 15:00:00,2026-02-18 15:01:00,2026-02-18 15:01:00,4943.2,4943.59,4949.24,4949.38,0.02,0.01,0.3900000000003274,0.14000000000032742,6.039999999999964,5.789999999999964,-0.25,,-6.289999999999999,sequential,
